code,title,points_r2_2021,points_r2_2021_info,points_r2_2020,points_r2_2020_info,points_r2_2019,points_r2_2019_info
CK104,Arts with Music - 3 or 4 years (BMus or Chinese/Eu,,Test/Portfolio,,,340.0,Test/Portfolio
CK105,Film and Screen Media - 3 years or 4 years (Intern,420.0,,337.0,,397.0,
CK107,Geographical and Archaeological Sciences - 3 or 4,,,,,326.0,
CK108,Arts International - 4 years,440.0,Randomly Selected,,,429.0,
CK109,English - 3 years or 4 years (International Pathwa,357.0,,,,347.0,
CK110,World Languages,,,433.0,,456.0,
CK111,Early Years and Childhood Studies,403.0,,,,398.0,
CK112,Theatre and Performative Practices - 3 or 4 years,,Test/Portfolio,,,324.0,Test/Portfolio
CK113,Criminology - 3 years or 4 years (International Pa,463.0,,,,408.0,
CK114,Social Science (Youth and Community Work),,Test/Portfolio,,,,Test/Portfolio
CK115,Social Work - Mature Applicants only,,,,,,Test/Portfolio
CK116,Sports Studies and Physical Education,,,,,499.0,
CK118,Digital Humanities and IT - 3 or 4 years (Work Exp,339.0,,,,307.0,
CK120,Applied Psychology,543.0,,532.0,,506.0,
CK121,Psychology and Computing - 3 or 4 years (Work Expe,488.0,,,,393.0,
CK122,Government and Political Science,,,328.0,,355.0,
CK123,Anthropology,,,,,,
CK124,Education - Gaeilge,,,462.0,,,
CK125,Sports Studies and Physical Education,555.0,,509.0,,,
CK201,Commerce,499.0,,,,465.0,Randomly Selected
CK202,Accounting,543.0,,,,467.0,
CK203,Business Information Systems,452.0,,,,409.0,
CK204,Finance,566.0,Randomly Selected,,,531.0,
CK205,Commerce (International) with French,,,,,409.0,
CK206,Commerce (International) with German,455.0,,418.0,,408.0,
CK207,Commerce (International) with Italian,418.0,,,,408.0,
CK208,Commerce (International) with Hispanic Studies,486.0,,,,431.0,
CK209,Commerce (International) with Irish,,,,,509.0,
CK211,Commerce (International) with Chinese Studies,,,,,398.0,
CK212,Economics (through Transformational Learning) 3 or,444.0,,,,400.0,
CK213,Food Marketing and Entrepreneurship,,,,,,
CK214,International Development,,,,,,
CK301,Law (Pathways) -  3 or 4 years,532.0,,499.0,,476.0,
CK302,Law and French,,,,,453.0,
CK304,Law and Irish,,,,,462.0,
CK307,Law and Business,589.0,Randomly Selected,,,522.0,
CK401,Computer Science,495.0,,,,402.0,
CK402,Biological and Chemical Sciences,555.0,Randomly Selected,509.0,,498.0,
CK404,Biological  Earth and Environmental Sciences,495.0,,,,412.0,
CK405,Genetics,,,,,476.0,
CK406,Chemical Sciences,,,472.0,,457.0,
CK407,Mathematical Sciences,,,565.0,,531.0,
CK408,Physics and Astrophysics,,,542.0,,511.0,
CK409,Industrial Physics - Offered jointly by UCC and CI,,,,,413.0,
CK411,Data Science and Analytics,,,,,509.0,
CK412,Agricultural Science,,,496.0,,457.0,
CK502,Food Marketing and Entrepreneurship,,,,,433.0,
CK504,Nutritional Sciences,554.0,,,,492.0,
CK505,Food Science,,,440.0,,444.0,
CK506,International Development and Food Policy,,,,,367.0,
CK600,Engineering,509.0,,,,465.0,
CK606,Architecture - Offered jointly by UCC and CIT,,,476.0,,465.0,
CK701,Medicine (Undergraduate Entry - HPAT required),737.0,Test/Portfolio,,,729.0,Test/Portfolio
CK702,Dentistry,625.0,Randomly Selected,613.0,,590.0,
CK703,Pharmacy,613.0,Randomly Selected,589.0,,577.0,
CK704,Occupational Therapy,,Randomly Selected,555.0,,532.0,Randomly Selected
CK705,Speech and Language Therapy,566.0,,,,509.0,
CK706,Public Health Sciences,,,,,419.0,
CK707,Medical and Health Sciences,,Randomly Selected,541.0,,510.0,Randomly Selected
CK710,General Nursing,497.0,Randomly Selected,,,440.0,
CK712,Children`s and General Nursing (Integrated),,,,,499.0,
CK720,Mental Health Nursing,452.0,,,,398.0,
CK730,Intellectual Disability Nursing,,,411.0,,359.0,
CK740,Midwifery,,Randomly Selected,,,444.0,
CK791,Medicine  - Graduate Entry (GAMSAT required),60.0,Randomly Selected,,,58.0,Randomly Selected
CM001,Education - Primary Teaching,,,,,452.0,Randomly Selected
CM002,Education - Primary Teaching - Gaeltacht Applicant,,Test/Portfolio,,,421.0,Test/Portfolio
CM003,Oideachas – Bunmhúinteoireacht Trí Mheán na Gaeilg,,Test/Portfolio,,,491.0,Test/Portfolio
CM004,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilg,,Test/Portfolio,,,492.0,Test/Portfolio
CM010,Education Studies,327.0,,,,317.0,
CM020,Early Childhood Education,,,,,336.0,
CR105,Chemical and Biopharmaceutical Engineering,,,,,432.0,
CR106,Software Development,,,,,351.0,
CR108,Mechanical Engineering,,,,,425.0,
CR109,Structural Engineering,,,,,341.0,
CR110,Automotive Business Management and Technology,,,,,318.0,
CR112,Creative Digital Media at CIT Crawford College of,,,,,335.0,
CR116,Computer Systems,,,,,318.0,
CR121,Music at CIT Cork School of Music,904.0,Test/Portfolio,,,633.0,Test/Portfolio
CR125,Popular Music at CIT Cork School of Music,,Test/Portfolio,,,972.0,Test/Portfolio
CR126,Popular Music: Drums at CIT Cork School of Music,,,,,878.0,Test/Portfolio
CR127,Popular Music: Electric Guitar at CIT Cork School of Music,,,768.0,,584.0,Test/Portfolio
CR128,Popular Music: Keyboards at CIT Cork School of Music,,,,,839.0,Test/Portfolio
CR129,Popular Music: Voice at CIT Cork School of Music,,,,,857.0,Test/Portfolio
CR130,Musical Theatre at CIT Cork School of Music,,Test/Portfolio,518.0,,500.0,Test/Portfolio
CR150,Business Information Systems,,,,,326.0,
CR210,Contemporary Applied Art (Ceramics  Glass  Textile,,Test/Portfolio,,Test/Portfolio,979.0,Test/Portfolio
CR220,Fine Art at CIT Crawford College of Art and Design,,Test/Portfolio,,Test/Portfolio,620.0,Test/Portfolio
CR225,Photography with New Media at CIT Crawford College,,Test/Portfolio,,Test/Portfolio,920.0,Test/Portfolio
CR305,Physical Sciences (Common Entry),,,,,279.0,
CR310,IT Management,,,,,282.0,
CR320,Biomedical Science - Offered jointly by CIT and UC,,Randomly Selected,,,546.0,
CR325,Pharmaceutical Biotechnology,,,,,388.0,
CR333,Nutrition and Health Science,,,,,360.0,
CR335,Biological Sciences (Common Entry),,,,,381.0,
CR340,Analytical Chemistry with Quality Assurance,,,,,288.0,
CR360,Instrument Engineering,,,,,291.0,
CR365,Environmental Science and Sustainable Technology,,,,,334.0,
CR370,Agri-Biosciences,,,,,408.0,
CR400,Accounting,,,,,316.0,
CR420,Marketing,,,,,288.0,
CR425,International Business with Language,,,,,300.0,
CR430,Sport and Exercise Management,,,,,,
CR435,Coaching Science and Sports Pedagogy,,,,,,
CR440,Montessori Education,408.0,,,,,
CR500,Engineering (Common Entry),,,,,381.0,
CR510,Sustainable Energy Engineering,,,,,319.0,
CR520,Biomedical Engineering,,,,,434.0,
CR560,Architectural Technology,,,,,288.0,
CR565,Interior Architecture,,,,,336.0,
CR570,Quantity Surveying,,,,,279.0,
CR572,Construction Management,,,,,253.0,
CR580,Electrical Engineering,,,,,344.0,
CR590,Electronic Engineering,,,,,342.0,
CR600,Visual Communications at CIT Crawford College of A,,Test/Portfolio,,Test/Portfolio,587.0,Test/Portfolio
CR660,Tourism Management,,,,,249.0,
CR700,Theatre and Drama Studies at CIT Cork School of Mu,609.0,Test/Portfolio,645.0,,768.0,Test/Portfolio
CR930,Home Economics and Business,,Randomly Selected,,,,
CT125,Computing and IT,242.0,,,,235.0,
CT325,Business,253.0,,,,,
CW018,Business (options),,,248.0,,327.0,
CW028,Early Childhood Education and Care,,,,,252.0,
CW038,Art (portfolio),,Test/Portfolio,,,700.0,Test/Portfolio
CW058,Tourism and Event Management,,,,,252.0,
CW068,Applied Social Studies in Professional Social Care,,,,,251.0,
CW078,Sustainable Farm Management and Agribusiness,,,,,266.0,
CW088,Visual Communications and Design,,,,,309.0,
CW108,Science (options),,,,,261.0,
CW128,Brewing and Distilling,,,,,271.0,
CW138,Sport and Exercise Science,423.0,,,,,
CW148,Strength and Conditioning,,,,,,
CW178,Sport Science (options),,,,,399.0,
CW188,Sport Rehabilitation and Athletic Therapy,,,448.0,,454.0,
CW208,Computer Games Development,,,,,281.0,
CW238,Software Development,,,,,300.0,
CW248,Information Technology Management,,,,,307.0,
CW258,Cybercrime and IT Security,,,,,300.0,
CW268,Computing in Interactive Digital Art and Design,,,,,274.0,
CW438,Construction (options),251.0,,,,271.0,
CW468,Architectural Technology,283.0,,,,252.0,
CW478,Civil Engineering,,,,,348.0,
CW548,Mechanical Engineering,328.0,,,,310.0,
CW558,Electronic Systems,,,,,279.0,
CW568,Aerospace Engineering,359.0,,,,366.0,
CW578,TV and Media Production,,,,,327.0,
CW708,Law - LLB,,,,,298.0,
CW728,Product Design Innovation,,,,,286.0,
CW748,Early Childhood Education and Care,,,,,265.0,
CW758,Professional Social Care Practice,358.0,,,,290.0,
CW808,Media and Public Relations,,,,,248.0,
CW848,Digital Marketing with Analytics,,,,,279.0,
CW858,Sports Management and Coaching (options  portfolio,,Test/Portfolio,,,700.0,Test/Portfolio
CW908,Business (options),,,,,260.0,
CW938,Business with Law,,,,,270.0,
CW948,Accounting,,,,,301.0,
DB500,Computing,234.0,,218.0,,242.0,
DB501,Computing (Cloud Computing),178.0,,227.0,,326.0,
DB502,Computing (Data Analytics and Big Data),233.0,,341.0,,269.0,
DB503,Computing (Software Development),,,225.0,,242.0,
DB504,Computing (Web and Mobile Technology),,,281.0,,227.0,
DB510,Audio Production and Music Project Management,217.0,,223.0,,233.0,
DB512,Business Studies,210.0,,203.0,,229.0,
DB514,Business Studies (Law),225.0,,,,269.0,
DB515,Business Studies (Human Resource Management),217.0,,244.0,,225.0,
DB516,Financial Services,,,,,328.0,
DB517,Marketing (Event Management),225.0,,,,226.0,
DB518,Marketing (Digital Media),209.0,,,,210.0,
DB521,Accounting and Finance,228.0,,195.0,,225.0,
DB524,Business (Information Systems),239.0,,309.0,,402.0,
DB525,Marketing (Digital Media and Cloud Computing),288.0,,,,284.0,
DB526,Business (Cloud Computing),244.0,,,,253.0,
DB527,Applied Social Care,219.0,,260.0,,235.0,
DB531,Marketing,176.0,,,,220.0,
DB562,Psychology,233.0,,229.0,,208.0,
DB566,Social Science,228.0,,227.0,,216.0,
DB567,Film and Creative Media,213.0,,202.0,,192.0,
DB568,Law,228.0,,252.0,,245.0,
DB569,Business (Psychology),240.0,,,,279.0,
DC001,Education - Early Childhood Education,,,,,398.0,
DC002,Education - Primary Teaching,,Randomly Selected,,,462.0,Randomly Selected
DC003,Education - Primary Teaching - Gaeltacht Applicant,,Test/Portfolio,,,433.0,Test/Portfolio
DC004,Education - Primary Teaching (Church of Ireland Ce,,Test/Portfolio,409.0,,357.0,Test/Portfolio
DC005,Education - Primary Teaching - Irish Sign Language,,,,,316.0,Test/Portfolio
DC009,Arts (Joint Honours) - Humanities,,,,,347.0,
DC010,Post Primary Teacher Education - Religious Educati,,,429.0,,386.0,
DC011,Post Primary Teacher Education - Religious Educati,,,391.0,,352.0,
DC012,Post Primary Teacher Education - Religious Educati,,,,,367.0,Test/Portfolio
DC013,Post Primary Teacher Ed - Gaeilge with French/Germ,,,,,410.0,
DC014,BA in Jazz and Contemporary Music Performance (aud,,Test/Portfolio,,,428.0,Test/Portfolio
DC110,Business Studies International,,,,,440.0,
DC111,Business Studies,,,,,463.0,
DC112,Global Business (France),,Randomly Selected,510.0,,495.0,
DC113,Global Business (Germany),,,,,440.0,
DC114,Global Business (Spain),,,,,501.0,
DC115,Accounting and Finance,,,,,487.0,
DC116,Global Business (USA),,Randomly Selected,,,578.0,
DC117,Aviation Management / Aviation Management with Pil,,,475.0,,463.0,
DC118,Gná agus Gaeilge / Business and Irish,,,,,357.0,
DC119,Global Business (Canada),,,,,566.0,
DC120,Computing for Business,402.0,,,,350.0,
DC121,Computer Science,,,,,370.0,
DC123,Data Science,,,,,467.0,
DC126,Actuarial Mathematics,,Randomly Selected,,,520.0,
DC127,Common Entry into Actuarial and Financial Mathemat,,,520.0,,509.0,
DC131,Communication Studies,,,402.0,,400.0,
DC132,Journalism,,,422.0,,401.0,
DC133,Multimedia,,,410.0,,403.0,
DC155,Applied Language and Translation Studies,,,,,371.0,
DC161,Analytical Science,,,489.0,,446.0,
DC162,Chemical and Pharmaceutical Sciences,,Randomly Selected,,,488.0,
DC163,Chemical Sciences General Entry (Undenominated Ent,,Randomly Selected,,,,
DC166,Environmental Science and Technology,,Randomly Selected,399.0,,412.0,
DC167,Physics with Astronomy,,,,,434.0,
DC168,Genetics and Cell Biology,,Randomly Selected,510.0,,489.0,
DC171,Applied Physics,,,,,402.0,
DC173,Physics with Biomedical Sciences,,,,,402.0,
DC175,Physics General Entry (options),,,402.0,,,
DC180,Biological Sciences General Entry (Undenominated E,,,,,,
DC181,Biotechnology,,,495.0,,476.0,
DC190,Electronic and Computer Engineering (with choice o,,,,,391.0,
DC193,Mechatronic Engineering,,,,,404.0,
DC194,Sustainable Systems and Energy,,,,,,
DC195,Mechanical and Manufacturing Engineering,,,,,401.0,
DC197,Biomedical Engineering,,,,,402.0,
DC200,Common Entry into Engineering (Undenominated Entry,510.0,,,,381.0,
DC201,Common Entry into Science (Undenominated Entry),,,488.0,,454.0,
DC202,Sport Science and Health,,,498.0,,467.0,
DC203,Science Education,,,,,424.0,
DC204,Athletic Therapy and Training,,,519.0,,484.0,
DC205,Physical Education with Biology,,,,,490.0,
DC206,Physical Education with Mathematics,,,,,443.0,
DC207,Psychology and Mathematics,,,,,,
DC208,Psychology,,,521.0,,509.0,
DC209,Health and Society,,,440.0,,419.0,
DC210,Psychology and Disruptive Technologies,,,,,,
DC215,General Nursing,,Randomly Selected,433.0,,414.0,
DC216,Mental Health Nursing,,,403.0,,368.0,
DC217,Intellectual Disability Nursing,,,,,347.0,
DC218,Children`s and General Nursing (Integrated),,Randomly Selected,498.0,,467.0,
DC230,Economics  Politics and Law,,,,,400.0,
DC231,International Relations,,,,,387.0,
DC232,Law and Society (BCL),,,,,453.0,
DC235,Education and Training - Daytime and Flexible Deli,,,,,307.0,
DC238,Social Sciences and Cultural Innovation,,,,,358.0,
DC239,"Gaeilge, Iriseoireacht agus na Meáin Dhigiteacha",,,,,,
DC240,Marketing  Innovation and Technology,,,474.0,,451.0,
DC241,Digital Business and Innovation,,,,,,
DC291,Arts (Joint Honours) - Media Studies,,,,,349.0,
DC292,Arts (Joint Honours) - Law,,,,,356.0,
DC293,Arts (Joint Honours) - International Languages,,,,,369.0,
DC294,Climate and Environmental Sustainability,,,,,,
DC295,Arts (Joint Honours) - Politics,,,,,348.0,
DK810,Accounting and Finance,307.0,,305.0,,306.0,
DK816,Business Studies,301.0,,300.0,,300.0,
DK820,Computing in Games Development,309.0,,311.0,,307.0,
DK821,Computing in Software Development,316.0,,302.0,,301.0,
DK822,Augmented and Virtual Reality,320.0,,,,,
DK830,Building Surveying,,,,,302.0,
DK831,Architectural Technology,314.0,,,,301.0,
DK832,Construction Management,305.0,,,,300.0,
DK843,Engineering (Common Entry),391.0,,340.0,,303.0,
DK844,Mechanical Engineering,336.0,,305.0,,,
DK845,Electrical and Electronic Engineering,331.0,,304.0,,,
DK846,Civil Engineering,371.0,,361.0,,,
DK850,International Tourism Management,303.0,,317.0,,,
DK860,Music (audition),,,532.0,,499.0,Test/Portfolio
DK861,Arts,302.0,,302.0,,300.0,
DK862,Social Care,319.0,,,,300.0,
DK863,Creative Media,320.0,,308.0,,300.0,
DK864,Film and Television Production,,,300.0,,300.0,
DK865,Audio and Music Production,,,,,301.0,
DK870,General Nursing,440.0,Randomly Selected,401.0,,392.0,
DK872,Intellectual Disability Nursing,366.0,,,,300.0,
DK874,Mental Health Nursing,,,,,356.0,
DK876,Early Childhood Studies,,,,,305.0,
DK877,Midwifery,477.0,,,,398.0,Randomly Selected
DK880,Health and Physical Activity,,,,,300.0,
DK882,Agriculture (Award options),,,,,303.0,
DK883,Science (Award options),368.0,,321.0,,300.0,
DK884,Sustainable Agriculture,,,,,,
DK885,Agri-Food Production,,,,,,
DK886,Biopharmaceutical Science,,,,,,
DK887,Environmental Science,,,,,,
DL821,"English, Media and Cultural Studies",,,212.0,,211.0,
DL822,Arts Management,,,229.0,,209.0,
DL823,Business Management,,,,,260.0,
DL825,Applied Psychology,413.0,,,,349.0,
DL826,Graphic Design,,Test/Portfolio,,,736.0,Test/Portfolio
DL827,Art,,Test/Portfolio,,,583.0,Test/Portfolio
DL828,"3D Design, Modelmaking and Digital Art",,,,,691.0,Test/Portfolio
DL829,Design for Stage and Screen (Costume Design),,,,,817.0,Test/Portfolio
DL830,Design for Stage and Screen (Character Makeup Design),,,,,879.0,Test/Portfolio
DL831,Design for Stage and Screen (Production Design),,,,,893.0,Test/Portfolio
DL832,Animation,,Test/Portfolio,,,855.0,Test/Portfolio
DL833,Photography and Visual Media,671.0,Test/Portfolio,,,636.0,Test/Portfolio
DL834,Film and Television Production,,,,,933.0,Test/Portfolio
DL835,Creative Media Technologies,,,,,237.0,
DL836,Creative Computing,,,,,217.0,
DL837,New Media Studies,293.0,,,,290.0,
DL838,Creative Music Production,,Test/Portfolio,,,746.0,Test/Portfolio
DL839,Interaction and User Experience Design,,Test/Portfolio,683.0,,,
DL840,Digital Marketing,,,228.0,,,
DL841,English and Equality Studies,277.0,,,,,
DL843,Film,874.0,Test/Portfolio,,,,
DL844,Television,,Test/Portfolio,,,,
DL845,Design for Film (degree options),,Test/Portfolio,,,,
DN100,Architecture,,,,,473.0,
DN120,Landscape Architecture,435.0,,,,353.0,
DN130,City Planning and Environmental Policy,424.0,,400.0,,367.0,
DN150,Engineering (Common Entry),,Randomly Selected,521.0,,511.0,
DN200,Science (options),567.0,,,,521.0,
DN201,Computer Science (Common Entry),549.0,,,,488.0,
DN230,Actuarial and Financial Studies,613.0,Randomly Selected,,,577.0,
DN240,Sustainability,,,,,,
DN250,Agricultural Science (options),444.0,,455.0,,420.0,
DN252,Dairy Business,,,,,398.0,
DN253,Agri - Environmental Sciences,,,,,403.0,
DN261,Food Science,,,,,434.0,
DN262,Human Nutrition,,,,,493.0,
DN271,Forestry,,,,,303.0,
DN272,"Horticulture, Landscape and Sportsturf Management",,,282.0,,252.0,
DN300,Veterinary Medicine - Undergraduate Entry,,Randomly Selected,,,567.0,Test/Portfolio
DN301,Veterinary Medicine - Graduate Entry (GAMSAT requi,,,,,,Test/Portfolio
DN310,Veterinary Nursing,509.0,,477.0,,441.0,
DN400,Medicine - Undergraduate Entry (HPAT required),,Randomly Selected,736.0,,735.0,Test/Portfolio
DN401,Medicine - Graduate Entry (GAMSAT required),,Randomly Selected,,,59.0,Randomly Selected
DN410,Radiography,566.0,Randomly Selected,532.0,,507.0,
DN411,Radiography - Graduate Entry,,Test/Portfolio,,,,Test/Portfolio
DN420,Physiotherapy,601.0,Randomly Selected,577.0,,542.0,
DN425,Health and Performance Science,543.0,,509.0,,488.0,
DN430,Sport and Exercise Management,476.0,,445.0,,436.0,
DN440,Biomedical  Health and Life Sciences,613.0,Randomly Selected,589.0,,565.0,Randomly Selected
DN450,General Nursing,,Randomly Selected,424.0,,398.0,
DN451,Children`s and General Nursing (Integrated),,,506.0,,462.0,Randomly Selected
DN452,Midwifery,509.0,,476.0,,409.0,
DN453,Mental Health Nursing,,,393.0,,379.0,
DN520,Joint Honours (options),378.0,,,,336.0,
DN530,Humanities (options),388.0,,336.0,,348.0,
DN541,Modern Languages (options),,,,,348.0,
DN600,Law (options),567.0,,544.0,,520.0,Randomly Selected
DN610,Business and Law,567.0,,,,521.0,
DN650,Commerce,,,521.0,,498.0,Randomly Selected
DN660,Commerce International (options),554.0,,511.0,,507.0,
DN670,Economics and Finance,625.0,Randomly Selected,,,601.0,
DN700,Social Sciences (options),474.0,,419.0,,388.0,
DN710,Economics,532.0,,498.0,,476.0,
DN720,Psychology,564.0,,522.0,,517.0,
DN750,Social Policy and Sociology,,,,,330.0,
DT001,Product Design,,,,,433.0,
DT028,Transport Operations and Technology,,,,,279.0,
DT035,Electrical Services and Energy Management,,,,,293.0,
DT066,Engineering (General Entry),,,,,400.0,
DT101,Architecture (test and interview),,,,,618.0,Test/Portfolio
DT106,Planning and Environmental Management,,,,,312.0,
DT110,Property Economics (Valuation Surveying),,,,,367.0,
DT111,Quantity Surveying and Construction Economics,,,,,391.0,
DT112,Geographic Science,,,,,287.0,
DT117,Construction Management,,,,,356.0,
DT175,Architectural Technology,,,,,388.0,
DT201,Science (General Entry),,,,,464.0,
DT203,Analytical Chemistry (Environmental Forensic and Pharmaceutical),,,,,341.0,
DT204,Biomedical Science,,,,,501.0,
DT205,Mathematical Sciences,,,,,315.0,
DT206,Biomedical and Molecular Diagnostics,,,,,473.0,
DT211,Computer Science (Infrastructure),,,,,381.0,
DT220,Industrial Mathematics,,,,,300.0,
DT221,Physics with Energy and Environment,,,,,348.0,
DT222,Physics Technology,,,,,321.0,
DT223,Human Nutrition and Dietetics,,,,,553.0,
DT224,Optometry,,,,,487.0,
DT225,Public Health Nutrition,,,,,440.0,
DT227,Science with Nanotechnology,,,,,312.0,
DT228,Computer Science,,,,,451.0,
DT229,Clinical Measurement Science,,,,,491.0,
DT235,Physics with Medical Physics and Bioengineering,,,,,357.0,
DT282,Computer Science (International),,,,,377.0,
DT299,Chemical Sciences with Medicinal Chemistry,,,,,420.0,
DT302,Business Analytics,,,,,325.0,
DT304,E-Commerce in Retailing,,,,,341.0,
DT321,Business and Law,,,,,462.0,
DT341,Marketing,,,,,400.0,
DT343,Retail and Services Management,,,,,301.0,
DT354,Business Computing,,,,,322.0,
DT358,Logistics and Supply Chain Management,,,,,300.0,
DT365,Business and Management,,,,,440.0,
DT366,Accounting and Finance,,,,,432.0,
DT398,Human Resource Management,,,,,375.0,
DT399,Economics and Finance,,,,,437.0,
DT401,International Hospitality Management,,,,,300.0,
DT405,Culinary Science,,,,,308.0,
DT407,Culinary Arts,,,,,271.0,
DT412,Tourism Marketing,,,,,284.0,
DT413,Event Management,,,,,356.0,
DT416,Culinary Entrepreneurship,,,,,275.0,
DT420,Nutraceuticals in Health and Nutrition,,,,,392.0,
DT421,Food Innovation,,,,,321.0,
DT422,Pharmaceutical Healthcare,,,,,397.0,
DT491,Environmental Health,,,,,343.0,
DT501,Music,,,,,383.0,Test/Portfolio
DT504,Film and Broadcasting,,,,,443.0,
DT506,Commercial Modern Music,,,,,468.0,Test/Portfolio
DT508,Game Design,,,,,403.0,
DT517,Languages and English Studies,,,,,326.0,
DT518,Languages and International Tourism,,,,,307.0,
DT529,Drama (Performance),,,,,371.0,Test/Portfolio
DT532,Law (LL.B.),,,,,422.0,
DT533,Contemporary Visual Culture,,,,,,Test/Portfolio
DT544,Interior Design,,,,,552.0,Test/Portfolio
DT545,Design - Visual Communication,,,,,667.0,Test/Portfolio
DT546,Fine Art,,,,,668.0,Test/Portfolio
DT555,International Business and Languages,,,,,353.0,
DT559,Photography,,,,,700.0,Test/Portfolio
DT571,Social Care,,,,,394.0,
DT572,Early Childhood Education,,,,,385.0,
DT582,Journalism,,,,,347.0,
DT596,Print Media Technology and Management,,,,,252.0,
DT597,Creative and Cultural Industries,,,,,280.0,
GA181,Accounting,,,,,303.0,
GA182,Business,,,,,290.0,
GA183,Business Information Systems,,,,,309.0,
GA184,Marketing and Sales,,,,,307.0,
