code,title,points_r1_2021,points_r1_2021_info,points_r1_2020,points_r1_2020_info,points_r1_2019,points_r1_2019_info
AL843,Physical Activity and Health Science,306.0,,306.0,,330.0,
AL849,Culinary Entrepreneurship,297.0,,,,,
AL850,Business,309.0,,309.0,,356.0,
AL851,Business and Law,302.0,,295.0,,341.0,
AL852,Accounting,336.0,,309.0,,346.0,
AL853,Accounting and Law,,,,,320.0,
AL854,Sport Management (with international placement),300.0,,302.0,,,
AL855,Hospitality Management (with international placeme,309.0,,308.0,,357.0,
AL857,Digital Marketing,304.0,,304.0,,360.0,
AL859,International Business,308.0,,,,,
AL860,Social Care Practice,301.0,,300.0,,338.0,
AL861,Animation and Illustration (portfolio),575.0,Test/Portfolio,578.0,,899.0,Test/Portfolio
AL863,Graphic and Digital Design (portfolio),747.0,Test/Portfolio,781.0,,898.0,Test/Portfolio
AL864,Early Years Care and Education,306.0,,307.0,,348.0,
AL870,Applied Psychology,484.0,Randomly Selected,418.0,,445.0,
AS001,Education  Home Economics and Biology - with concu,542.0,,510.0,,497.0,Randomly Selected
AS002,Education  Home Economics and Religious Ed - with,464.0,,441.0,,433.0,Randomly Selected
AS003,Education  Home Economics and Irish - with concurr,463.0,Randomly Selected,440.0,,457.0,
AS051,Nutrition  Food and Business Management,378.0,,328.0,,399.0,
AS054,Home Economics,440.0,Randomly Selected,408.0,,401.0,
AS110,General Nursing,440.0,Randomly Selected,419.0,,409.0,Randomly Selected
AS130,Intellectual Disability Nursing,387.0,,336.0,,338.0,
BN101,Business,,,,,289.0,
BN103,Business and Information Technology,,,,,290.0,
BN104,Computing (Information Technology),,,,,293.0,
BN107,Applied Social Studies in Social Care,,,,,328.0,
BN108,Engineering (Common Entry with Award options),,,,,318.0,
BN109,Business (Common Entry with Award options),,,,,279.0,
BN110,International Business,,,,,308.0,
BN111,Sports Management and Coaching,,,,,298.0,
BN112,Creative Digital Media,,,,,329.0,
BN113,Horticulture,,,,,321.0,
BN114,Accounting and Finance,,,,,332.0,
BN115,Community and Youth Development,,,,,298.0,
BN117,Computer Engineering in Mobile Systems,,,,,311.0,
BN118,Early Childhood Care and Education,,,,,320.0,
BN119,Digital Marketing,,,,,308.0,
BN120,Digital Forensics and Cyber Security,,,,,326.0,
BN121,Mechatronic Engineering,,,,,340.0,
BN123,"Design,Technology and Innovation",,,,,318.0,
BY001,Business,210.0,,,,,
CI101,Counselling and Psychotherapy (Limerick),,,,,328.0,
CI110,Counselling and Psychotherapy,292.0,,310.0,,,
CI111,Counselling and Psychotherapy with Addiction Studi,290.0,,301.0,,,
CI112,Counselling and Psychotherapy with Youth Studies,325.0,,311.0,,,
CK101,Arts - 3 years,300.0,,300.0,,368.0,
CK102,Social Science,434.0,,412.0,,431.0,
CK104,Arts with Music - 3 or 4 years (BMus or Chinese/Eu,339.0,Test/Portfolio,302.0,,409.0,Test/Portfolio
CK105,Film and Screen Media - 3 years or 4 years (Intern,421.0,,368.0,,442.0,
CK107,Geographical and Archaeological Sciences - 3 or 4,312.0,,328.0,,388.0,
CK108,Arts International - 4 years,440.0,Randomly Selected,401.0,,466.0,
CK109,English - 3 years or 4 years (International Pathwa,367.0,,318.0,,423.0,
CK110,World Languages,488.0,,452.0,,506.0,
CK111,Early Years and Childhood Studies,409.0,,419.0,,429.0,
CK112,Theatre and Performative Practices - 3 or 4 years,371.0,Test/Portfolio,330.0,,470.0,Test/Portfolio
CK113,Criminology - 3 years or 4 years (International Pa,464.0,,423.0,,430.0,
CK114,Social Science (Youth and Community Work),,Test/Portfolio,,,,Test/Portfolio
CK115,Social Work - Mature Applicants only,,,,,,Test/Portfolio
CK116,Sports Studies and Physical Education,,,,,520.0,
CK118,Digital Humanities and IT - 3 or 4 years (Work Exp,347.0,,336.0,,361.0,
CK120,Applied Psychology,544.0,,533.0,,532.0,
CK121,Psychology and Computing - 3 or 4 years (Work Expe,499.0,,466.0,,466.0,
CK122,Government and Political Science,399.0,,337.0,,410.0,
CK123,Anthropology,308.0,,308.0,,,
CK124,Education - Gaeilge,473.0,,463.0,,,
CK125,Sports Studies and Physical Education,564.0,,510.0,,,
CK201,Commerce,500.0,,477.0,,489.0,Randomly Selected
CK202,Accounting,553.0,,509.0,,506.0,
CK203,Business Information Systems,455.0,,430.0,,444.0,
CK204,Finance,566.0,Randomly Selected,556.0,,555.0,
CK205,Commerce (International) with French,465.0,,445.0,,473.0,
CK206,Commerce (International) with German,466.0,,420.0,,446.0,
CK207,Commerce (International) with Italian,423.0,,388.0,,425.0,
CK208,Commerce (International) with Hispanic Studies,488.0,,402.0,,455.0,
CK209,Commerce (International) with Irish,507.0,,484.0,,528.0,
CK211,Commerce (International) with Chinese Studies,385.0,,397.0,,420.0,
CK212,Economics (through Transformational Learning) 3 or,445.0,,444.0,,429.0,
CK213,Food Marketing and Entrepreneurship,466.0,,462.0,,,
CK214,International Development,332.0,,346.0,,,
CK301,Law (Pathways) -  3 or 4 years,533.0,,507.0,,519.0,
CK302,Law and French,545.0,,542.0,,531.0,
CK304,Law and Irish,588.0,,540.0,,510.0,
CK307,Law and Business,589.0,Randomly Selected,556.0,,554.0,
CK401,Computer Science,503.0,,468.0,,456.0,
CK402,Biological and Chemical Sciences,555.0,Randomly Selected,510.0,,520.0,
CK404,Biological  Earth and Environmental Sciences,500.0,,467.0,,451.0,
CK405,Genetics,543.0,,487.0,,496.0,
CK406,Chemical Sciences,532.0,,485.0,,488.0,
CK407,Mathematical Sciences,566.0,,566.0,,578.0,
CK408,Physics and Astrophysics,566.0,,554.0,,566.0,
CK409,Industrial Physics - Offered jointly by UCC and CI,465.0,,432.0,,532.0,
CK411,Data Science and Analytics,531.0,,510.0,,542.0,
CK412,Agricultural Science,506.0,,496.0,,509.0,
CK502,Food Marketing and Entrepreneurship,,,,,456.0,
CK504,Nutritional Sciences,555.0,,518.0,,509.0,
CK505,Food Science,463.0,,441.0,,477.0,
CK506,International Development and Food Policy,,,,,410.0,
CK600,Engineering,510.0,,487.0,,532.0,
CK606,Architecture - Offered jointly by UCC and CIT,543.0,,484.0,,496.0,
CK701,Medicine (Undergraduate Entry - HPAT required),738.0,Test/Portfolio,731.0,,740.0,Test/Portfolio
CK702,Dentistry,625.0,Randomly Selected,613.0,,613.0,
CK703,Pharmacy,613.0,Randomly Selected,590.0,,589.0,
CK704,Occupational Therapy,601.0,Randomly Selected,566.0,,554.0,Randomly Selected
CK705,Speech and Language Therapy,568.0,,520.0,,529.0,
CK706,Public Health Sciences,500.0,,454.0,,451.0,
CK707,Medical and Health Sciences,578.0,Randomly Selected,542.0,,543.0,Randomly Selected
CK710,General Nursing,498.0,Randomly Selected,454.0,,466.0,
CK712,Children`s and General Nursing (Integrated),565.0,,533.0,,520.0,
CK720,Mental Health Nursing,455.0,,423.0,,429.0,
CK730,Intellectual Disability Nursing,431.0,,419.0,,388.0,
CK740,Midwifery,509.0,Randomly Selected,484.0,,474.0,
CK791,Medicine  - Graduate Entry (GAMSAT required),60.0,Randomly Selected,57.0,,59.0,Randomly Selected
CM001,Education - Primary Teaching,508.0,,484.0,,462.0,Randomly Selected
CM002,Education - Primary Teaching - Gaeltacht Applicant,462.0,Test/Portfolio,,,440.0,Test/Portfolio
CM003,Oideachas – Bunmhúinteoireacht Trí Mheán na Gaeilg,513.0,Test/Portfolio,528.0,,506.0,Test/Portfolio
CM004,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilg,480.0,Test/Portfolio,494.0,,569.0,Test/Portfolio
CM010,Education Studies,382.0,,319.0,,373.0,
CM020,Early Childhood Education,317.0,,327.0,,363.0,
CR105,Chemical and Biopharmaceutical Engineering,443.0,,443.0,,498.0,
CR106,Software Development,431.0,,411.0,,393.0,
CR108,Mechanical Engineering,434.0,,434.0,,487.0,
CR109,Structural Engineering,396.0,,394.0,,467.0,
CR110,Automotive Business Management and Technology,336.0,,311.0,,347.0,
CR112,Creative Digital Media at CIT Crawford College of,390.0,,361.0,,389.0,
CR116,Computer Systems,365.0,,332.0,,381.0,
CR121,Music at CIT Cork School of Music,904.0,Test/Portfolio,868.0,,1052.0,Test/Portfolio
CR125,Popular Music at CIT Cork School of Music,1028.0,Test/Portfolio,1088.0,,1021.0,Test/Portfolio
CR126,Popular Music: Drums at CIT Cork School of Music,,,801.0,,1043.0,Test/Portfolio
CR127,Popular Music: Electric Guitar at CIT Cork School of Music,,,838.0,,761.0,Test/Portfolio
CR128,Popular Music: Keyboards at CIT Cork School of Music,,,840.0,,1009.0,Test/Portfolio
CR129,Popular Music: Voice at CIT Cork School of Music,,,841.0,,927.0,Test/Portfolio
CR130,Musical Theatre at CIT Cork School of Music,525.0,Test/Portfolio,548.0,,600.0,Test/Portfolio
CR150,Business Information Systems,350.0,,335.0,,371.0,
CR210,Contemporary Applied Art (Ceramics  Glass  Textile,450.0,Test/Portfolio,,Test/Portfolio,979.0,Test/Portfolio
CR220,Fine Art at CIT Crawford College of Art and Design,400.0,Test/Portfolio,,Test/Portfolio,819.0,Test/Portfolio
CR225,Photography with New Media at CIT Crawford College,435.0,Test/Portfolio,,Test/Portfolio,920.0,Test/Portfolio
CR305,Physical Sciences (Common Entry),260.0,,282.0,,309.0,
CR310,IT Management,347.0,,297.0,,317.0,
CR320,Biomedical Science - Offered jointly by CIT and UC,590.0,Randomly Selected,565.0,,556.0,
CR325,Pharmaceutical Biotechnology,466.0,,398.0,,422.0,
CR333,Nutrition and Health Science,425.0,,402.0,,393.0,
CR335,Biological Sciences (Common Entry),473.0,,420.0,,419.0,
CR340,Analytical Chemistry with Quality Assurance,327.0,,251.0,,315.0,
CR360,Instrument Engineering,301.0,,261.0,,329.0,
CR365,Environmental Science and Sustainable Technology,262.0,,253.0,,362.0,
CR370,Agri-Biosciences,368.0,,397.0,,431.0,
CR400,Accounting,315.0,,316.0,,389.0,
CR420,Marketing,290.0,,285.0,,329.0,
CR425,International Business with Language,279.0,,298.0,,392.0,
CR430,Sport and Exercise Management,402.0,,322.0,,,
CR435,Coaching Science and Sports Pedagogy,410.0,,,,,
CR440,Montessori Education,409.0,,288.0,,,
CR500,Engineering (Common Entry),475.0,,411.0,,424.0,
CR510,Sustainable Energy Engineering,320.0,,320.0,,343.0,
CR520,Biomedical Engineering,444.0,,444.0,,477.0,
CR560,Architectural Technology,375.0,,308.0,,332.0,
CR565,Interior Architecture,431.0,,359.0,,390.0,
CR570,Quantity Surveying,375.0,,336.0,,342.0,
CR572,Construction Management,300.0,,269.0,,300.0,
CR580,Electrical Engineering,342.0,,318.0,,374.0,
CR590,Electronic Engineering,329.0,,303.0,,411.0,
CR600,Visual Communications at CIT Crawford College of A,280.0,Test/Portfolio,,Test/Portfolio,888.0,Test/Portfolio
CR660,Tourism Management,246.0,,252.0,,290.0,
CR700,Theatre and Drama Studies at CIT Cork School of Mu,609.0,Test/Portfolio,740.0,,906.0,Test/Portfolio
CR930,Home Economics and Business,518.0,Randomly Selected,,,,
CT125,Computing and IT,242.0,,220.0,,280.0,
CT325,Business,253.0,,338.0,,,
CW018,Business (options),307.0,,298.0,,349.0,
CW028,Early Childhood Education and Care,260.0,,252.0,,308.0,
CW038,Art (portfolio),700.0,Test/Portfolio,700.0,,700.0,Test/Portfolio
CW058,Tourism and Event Management,292.0,,298.0,,262.0,
CW068,Applied Social Studies in Professional Social Care,250.0,,245.0,,280.0,
CW078,Sustainable Farm Management and Agribusiness,270.0,,269.0,,320.0,
CW088,Visual Communications and Design,270.0,,274.0,,345.0,
CW108,Science (options),266.0,,261.0,,326.0,
CW128,Brewing and Distilling,307.0,,263.0,,298.0,
CW138,Sport and Exercise Science,430.0,,423.0,,,
CW148,Strength and Conditioning,388.0,,379.0,,,
CW178,Sport Science (options),,,,,424.0,
CW188,Sport Rehabilitation and Athletic Therapy,451.0,,451.0,,473.0,
CW208,Computer Games Development,272.0,,279.0,,338.0,
CW238,Software Development,295.0,,297.0,,343.0,
CW248,Information Technology Management,293.0,,285.0,,357.0,
CW258,Cybercrime and IT Security,292.0,,293.0,,328.0,
CW268,Computing in Interactive Digital Art and Design,291.0,,287.0,,321.0,
CW438,Construction (options),260.0,,272.0,,308.0,
CW468,Architectural Technology,291.0,,262.0,,290.0,
CW478,Civil Engineering,465.0,,433.0,,383.0,
CW548,Mechanical Engineering,330.0,,321.0,,351.0,
CW558,Electronic Systems,280.0,,280.0,,338.0,
CW568,Aerospace Engineering,371.0,,380.0,,422.0,
CW578,TV and Media Production,318.0,,325.0,,361.0,
CW708,Law - LLB,292.0,,302.0,,328.0,
CW728,Product Design Innovation,246.0,,252.0,,355.0,
CW748,Early Childhood Education and Care,290.0,,270.0,,338.0,
CW758,Professional Social Care Practice,360.0,,336.0,,319.0,
CW808,Media and Public Relations,247.0,,251.0,,307.0,
CW848,Digital Marketing with Analytics,269.0,,254.0,,307.0,
CW858,Sports Management and Coaching (options  portfolio,700.0,Test/Portfolio,700.0,,700.0,Test/Portfolio
CW908,Business (options),272.0,,280.0,,307.0,
CW938,Business with Law,270.0,,283.0,,288.0,
CW948,Accounting,319.0,,300.0,,408.0,
DB500,Computing,234.0,,218.0,,320.0,
DB501,Computing (Cloud Computing),,,227.0,,329.0,
DB502,Computing (Data Analytics and Big Data),267.0,,341.0,,269.0,
DB503,Computing (Software Development),,,225.0,,282.0,
DB504,Computing (Web and Mobile Technology),,,,,269.0,
DB510,Audio Production and Music Project Management,217.0,,234.0,,293.0,
DB512,Business Studies,243.0,,218.0,,301.0,
DB514,Business Studies (Law),239.0,,252.0,,337.0,
DB515,Business Studies (Human Resource Management),242.0,,244.0,,288.0,
DB516,Financial Services,,,,,336.0,
DB517,Marketing (Event Management),233.0,,238.0,,327.0,
DB518,Marketing (Digital Media),307.0,,,,289.0,
DB521,Accounting and Finance,243.0,,225.0,,271.0,
DB524,Business (Information Systems),247.0,,342.0,,402.0,
DB525,Marketing (Digital Media and Cloud Computing),288.0,,,,309.0,
DB526,Business (Cloud Computing),244.0,,347.0,,288.0,
DB527,Applied Social Care,254.0,,234.0,,288.0,
DB531,Marketing,288.0,,293.0,,288.0,
DB562,Psychology,244.0,,243.0,,310.0,
DB566,Social Science,262.0,,220.0,,308.0,
DB567,Film and Creative Media,245.0,,218.0,,295.0,
DB568,Law,254.0,,219.0,,308.0,
DB569,Business (Psychology),240.0,,252.0,,338.0,
DC001,Education - Early Childhood Education,445.0,,440.0,,424.0,
DC002,Education - Primary Teaching,518.0,Randomly Selected,488.0,,485.0,Randomly Selected
DC003,Education - Primary Teaching - Gaeltacht Applicant,489.0,Test/Portfolio,445.0,,473.0,Test/Portfolio
DC004,Education - Primary Teaching (Church of Ireland Ce,451.0,Test/Portfolio,411.0,,,Test/Portfolio
DC005,Education - Primary Teaching - Irish Sign Language,,,,,316.0,Test/Portfolio
DC009,Arts (Joint Honours) - Humanities,356.0,,376.0,,408.0,
DC010,Post Primary Teacher Education - Religious Educati,384.0,,441.0,,413.0,
DC011,Post Primary Teacher Education - Religious Educati,409.0,,412.0,,389.0,
DC012,Post Primary Teacher Education - Religious Educati,409.0,,378.0,,415.0,Test/Portfolio
DC013,Post Primary Teacher Ed - Gaeilge with French/Germ,413.0,,419.0,,509.0,
DC014,BA in Jazz and Contemporary Music Performance (aud,311.0,Test/Portfolio,419.0,,590.0,Test/Portfolio
DC110,Business Studies International,498.0,,465.0,,462.0,
DC111,Business Studies,511.0,,488.0,,479.0,
DC112,Global Business (France),542.0,Randomly Selected,517.0,,510.0,
DC113,Global Business (Germany),484.0,,462.0,,476.0,
DC114,Global Business (Spain),544.0,,522.0,,543.0,
DC115,Accounting and Finance,544.0,,510.0,,500.0,
DC116,Global Business (USA),613.0,Randomly Selected,579.0,,589.0,
DC117,Aviation Management / Aviation Management with Pil,484.0,,476.0,,487.0,
DC118,Gná agus Gaeilge / Business and Irish,368.0,,359.0,,399.0,
DC119,Global Business (Canada),601.0,,564.0,,577.0,
DC120,Computing for Business,403.0,,357.0,,389.0,
DC121,Computer Science,475.0,,400.0,,418.0,
DC123,Data Science,501.0,,465.0,,511.0,
DC126,Actuarial Mathematics,577.0,Randomly Selected,560.0,,543.0,
DC127,Common Entry into Actuarial and Financial Mathemat,541.0,,532.0,,531.0,
DC131,Communication Studies,421.0,,407.0,,441.0,
DC132,Journalism,452.0,,429.0,,440.0,
DC133,Multimedia,435.0,,411.0,,451.0,
DC155,Applied Language and Translation Studies,427.0,,387.0,,430.0,
DC161,Analytical Science,498.0,,498.0,,463.0,
DC162,Chemical and Pharmaceutical Sciences,531.0,Randomly Selected,521.0,,498.0,
DC163,Chemical Sciences General Entry (Undenominated Ent,466.0,Randomly Selected,,,,
DC166,Environmental Science and Technology,423.0,Randomly Selected,433.0,,442.0,
DC167,Physics with Astronomy,,,,,477.0,
DC168,Genetics and Cell Biology,543.0,Randomly Selected,512.0,,500.0,
DC171,Applied Physics,,,,,433.0,
DC173,Physics with Biomedical Sciences,,,,,458.0,
DC175,Physics General Entry (options),400.0,,419.0,,,
DC180,Biological Sciences General Entry (Undenominated E,530.0,,,,,
DC181,Biotechnology,530.0,,499.0,,488.0,
DC190,Electronic and Computer Engineering (with choice o,488.0,,413.0,,433.0,
DC193,Mechatronic Engineering,490.0,,411.0,,445.0,
DC194,Sustainable Systems and Energy,476.0,,,,,
DC195,Mechanical and Manufacturing Engineering,500.0,,425.0,,444.0,
DC197,Biomedical Engineering,510.0,,423.0,,446.0,
DC200,Common Entry into Engineering (Undenominated Entry,511.0,,422.0,,444.0,
DC201,Common Entry into Science (Undenominated Entry),,,498.0,,477.0,
DC202,Sport Science and Health,511.0,,500.0,,476.0,
DC203,Science Education,462.0,,435.0,,476.0,
DC204,Athletic Therapy and Training,558.0,,522.0,,500.0,
DC205,Physical Education with Biology,565.0,,531.0,,521.0,
DC206,Physical Education with Mathematics,521.0,,499.0,,476.0,
DC207,Psychology and Mathematics,521.0,,,,,
DC208,Psychology,565.0,,532.0,,521.0,
DC209,Health and Society,477.0,,465.0,,440.0,
DC210,Psychology and Disruptive Technologies,506.0,,,,,
DC215,General Nursing,456.0,Randomly Selected,454.0,,443.0,
DC216,Mental Health Nursing,420.0,,418.0,,389.0,
DC217,Intellectual Disability Nursing,382.0,,370.0,,362.0,
DC218,Children`s and General Nursing (Integrated),521.0,Randomly Selected,500.0,,480.0,
DC230,Economics  Politics and Law,431.0,,435.0,,431.0,
DC231,International Relations,398.0,,397.0,,445.0,
DC232,Law and Society (BCL),469.0,,466.0,,487.0,
DC235,Education and Training - Daytime and Flexible Deli,302.0,,309.0,,327.0,
DC238,Social Sciences and Cultural Innovation,387.0,,377.0,,388.0,
DC239,"Gaeilge, Iriseoireacht agus na Meáin Dhigiteacha",,,430.0,,,
DC240,Marketing  Innovation and Technology,499.0,,476.0,,474.0,
DC241,Digital Business and Innovation,509.0,,,,,
DC291,Arts (Joint Honours) - Media Studies,350.0,,376.0,,392.0,
DC292,Arts (Joint Honours) - Law,400.0,,403.0,,388.0,
DC293,Arts (Joint Honours) - International Languages,379.0,,377.0,,400.0,
DC294,Climate and Environmental Sustainability,475.0,,,,,
DC295,Arts (Joint Honours) - Politics,349.0,,376.0,,387.0,
DK810,Accounting and Finance,307.0,,305.0,,391.0,
DK816,Business Studies,301.0,,300.0,,357.0,
DK820,Computing in Games Development,309.0,,311.0,,369.0,
DK821,Computing in Software Development,320.0,,302.0,,347.0,
DK822,Augmented and Virtual Reality,320.0,,307.0,,,
DK830,Building Surveying,305.0,,336.0,,349.0,
DK831,Architectural Technology,368.0,,389.0,,366.0,
DK832,Construction Management,358.0,,387.0,,329.0,
DK843,Engineering (Common Entry),404.0,,340.0,,402.0,
DK844,Mechanical Engineering,336.0,,305.0,,,
DK845,Electrical and Electronic Engineering,331.0,,304.0,,,
DK846,Civil Engineering,371.0,,391.0,,,
DK850,International Tourism Management,303.0,,317.0,,,
DK860,Music (audition),,,532.0,,649.0,Test/Portfolio
DK861,Arts,302.0,,302.0,,358.0,
DK862,Social Care,322.0,,301.0,,338.0,
DK863,Creative Media,336.0,,308.0,,376.0,
DK864,Film and Television Production,308.0,,300.0,,332.0,
DK865,Audio and Music Production,352.0,,301.0,,346.0,
DK870,General Nursing,440.0,Randomly Selected,403.0,,401.0,
DK872,Intellectual Disability Nursing,367.0,,336.0,,317.0,
DK874,Mental Health Nursing,398.0,,356.0,,378.0,
DK876,Early Childhood Studies,300.0,,321.0,,359.0,
DK877,Midwifery,482.0,,440.0,,441.0,Randomly Selected
DK880,Health and Physical Activity,301.0,,328.0,,367.0,
DK882,Agriculture (Award options),342.0,,310.0,,358.0,
DK883,Science (Award options),373.0,,358.0,,369.0,
DK884,Sustainable Agriculture,348.0,,,,,
DK885,Agri-Food Production,,,,,,
DK886,Biopharmaceutical Science,379.0,,301.0,,,
DK887,Environmental Science,377.0,,330.0,,,
DL821,"English, Media and Cultural Studies",,,212.0,,317.0,
DL822,Arts Management,254.0,,229.0,,319.0,
DL823,Business Management,220.0,,235.0,,316.0,
DL825,Applied Psychology,418.0,,379.0,,413.0,
DL826,Graphic Design,591.0,Test/Portfolio,855.0,,989.0,Test/Portfolio
DL827,Art,574.0,Test/Portfolio,572.0,,902.0,Test/Portfolio
DL828,"3D Design, Modelmaking and Digital Art",,,506.0,,866.0,Test/Portfolio
DL829,Design for Stage and Screen (Costume Design),,,593.0,,1021.0,Test/Portfolio
DL830,Design for Stage and Screen (Character Makeup Design),,,939.0,,953.0,Test/Portfolio
DL831,Design for Stage and Screen (Production Design),,,781.0,,1073.0,Test/Portfolio
DL832,Animation,989.0,Test/Portfolio,920.0,,1055.0,Test/Portfolio
DL833,Photography and Visual Media,671.0,Test/Portfolio,650.0,,791.0,Test/Portfolio
DL834,Film and Television Production,,,990.0,,1011.0,Test/Portfolio
DL835,Creative Media Technologies,,,,,289.0,
DL836,Creative Computing,235.0,,219.0,,326.0,
DL837,New Media Studies,298.0,,201.0,,349.0,
DL838,Creative Music Production,713.0,Test/Portfolio,754.0,,873.0,Test/Portfolio
DL839,Interaction and User Experience Design,757.0,Test/Portfolio,683.0,,,
DL840,Digital Marketing,210.0,,228.0,,,
DL841,English and Equality Studies,277.0,,276.0,,,
DL843,Film,987.0,Test/Portfolio,,,,
DL844,Television,566.0,Test/Portfolio,,,,
DL845,Design for Film (degree options),628.0,Test/Portfolio,,,,
DN100,Architecture,555.0,,510.0,,509.0,
DN120,Landscape Architecture,463.0,,407.0,,403.0,
DN130,City Planning and Environmental Policy,445.0,,407.0,,421.0,
DN150,Engineering (Common Entry),565.0,Randomly Selected,531.0,,554.0,
DN200,Science (options),577.0,,533.0,,554.0,
DN201,Computer Science (Common Entry),554.0,,510.0,,509.0,
DN230,Actuarial and Financial Studies,613.0,Randomly Selected,601.0,,589.0,
DN240,Sustainability,510.0,,440.0,,,
DN250,Agricultural Science (options),454.0,,456.0,,462.0,
DN252,Dairy Business,,,410.0,,428.0,
DN253,Agri - Environmental Sciences,,,418.0,,419.0,
DN261,Food Science,531.0,,477.0,,467.0,
DN262,Human Nutrition,566.0,,531.0,,510.0,
DN271,Forestry,,,311.0,,361.0,
DN272,"Horticulture, Landscape and Sportsturf Management",,,297.0,,312.0,
DN300,Veterinary Medicine - Undergraduate Entry,601.0,Randomly Selected,589.0,,589.0,Test/Portfolio
DN301,Veterinary Medicine - Graduate Entry (GAMSAT requi,,,,,,Test/Portfolio
DN310,Veterinary Nursing,521.0,,478.0,,487.0,
DN400,Medicine - Undergraduate Entry (HPAT required),743.0,Randomly Selected,737.0,,745.0,Test/Portfolio
DN401,Medicine - Graduate Entry (GAMSAT required),61.0,Randomly Selected,,,61.0,Randomly Selected
DN410,Radiography,566.0,Randomly Selected,534.0,,522.0,
DN411,Radiography - Graduate Entry,,Test/Portfolio,,,,Test/Portfolio
DN420,Physiotherapy,601.0,Randomly Selected,578.0,,555.0,
DN425,Health and Performance Science,544.0,,510.0,,509.0,
DN430,Sport and Exercise Management,484.0,,455.0,,455.0,
DN440,Biomedical  Health and Life Sciences,613.0,Randomly Selected,590.0,,579.0,Randomly Selected
DN450,General Nursing,462.0,Randomly Selected,429.0,,420.0,
DN451,Children`s and General Nursing (Integrated),533.0,,509.0,,499.0,Randomly Selected
DN452,Midwifery,510.0,,489.0,,452.0,
DN453,Mental Health Nursing,442.0,,397.0,,403.0,
DN520,Joint Honours (options),381.0,,310.0,,408.0,
DN530,Humanities (options),397.0,,340.0,,411.0,
DN541,Modern Languages (options),320.0,,303.0,,412.0,
DN600,Law (options),576.0,,546.0,,532.0,Randomly Selected
DN610,Business and Law,573.0,,545.0,,543.0,
DN650,Commerce,555.0,,521.0,,510.0,Randomly Selected
DN660,Commerce International (options),555.0,,517.0,,531.0,
DN670,Economics and Finance,625.0,Randomly Selected,613.0,,601.0,
DN700,Social Sciences (options),475.0,,421.0,,441.0,
DN710,Economics,534.0,,498.0,,488.0,
DN720,Psychology,566.0,,530.0,,531.0,
DN750,Social Policy and Sociology,421.0,,378.0,,366.0,
DT001,Product Design,,,,,464.0,
DT028,Transport Operations and Technology,,,,,348.0,
DT035,Electrical Services and Energy Management,,,,,340.0,
DT066,Engineering (General Entry),,,,,457.0,
DT101,Architecture (test and interview),,,,,647.0,Test/Portfolio
DT106,Planning and Environmental Management,,,,,337.0,
DT110,Property Economics (Valuation Surveying),,,,,424.0,
DT111,Quantity Surveying and Construction Economics,,,,,421.0,
DT112,Geographic Science,,,,,335.0,
DT117,Construction Management,,,,,373.0,
DT175,Architectural Technology,,,,,425.0,
DT201,Science (General Entry),,,,,477.0,
